Principal Component,Explained Variance Ratio,Cumulative Variance
PC1,0.7650252767869429,0.7650252767869429
PC2,0.07986438470344993,0.8448896614903928
PC3,0.0758318158861993,0.9207214773765922
PC4,0.052954617635330874,0.973676095011923
PC5,0.01737620886009633,0.9910523038720194
PC6,0.005893330433675954,0.9969456343056953
PC7,0.002235132620997565,0.9991807669266929
PC8,0.0004120655863219931,0.9995928325130149
PC9,0.0003410313330004098,0.9999338638460153
PC10,6.235853366137785e-05,0.9999962223796768
PC11,2.259735169562098e-06,0.9999984821148463
PC12,1.2335589782149835e-06,0.9999997156738245
PC13,2.2959780598517814e-07,0.9999999452716305
PC14,4.8337943226885296e-08,0.9999999936095737
PC15,6.390426594038282e-09,1.0000000000000002
