,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
total_points,0.3088252076570219,-0.03675994388505542,0.07087290430646968,-0.04186972789766106,0.22323730743291192,-0.09934279027024746,0.38529417142677624,0.4336332418728573,0.017503787045140693,0.6117202746913425,-0.2589649394285453,0.16131366046860987,-0.15401543171138804,-0.07854380743266053,0.0531364821311376
points_per_race,0.30882520765702204,-0.03675994388505546,0.07087290430646996,-0.041869727897661045,0.22323730743291192,-0.09934279027024728,0.38529417142677636,0.43363324187285734,0.01750378704513911,-0.6117202746913422,0.25896493942854437,-0.16131366046861062,0.15401543171138854,0.0785438074326606,-0.053136482131137766
average_finish_position,-0.30813322827535006,-0.08241797604972816,0.12079641478705433,0.0461439027942616,-0.08016118458676454,-0.03425065966510161,-0.3290192366742186,0.5350668834719565,-0.30054720486755315,0.08569508959603703,-0.23072230548494851,-0.5430113024091348,0.05160506621274904,0.13695709411023146,-0.1104733006712085
average_grid_position,-0.2737837092367023,0.25450449614320775,0.24046176445741427,0.16326339801581424,0.12329649502316029,-0.01590114706496551,-0.18311478026523473,0.30447549249250727,-0.39312789417938354,-0.09514026181657365,0.2561521395710953,0.6028611175284098,-0.05729289196950296,-0.15205228038978852,0.12264948667590839
average_positions_gained,0.007181904729979965,0.6280550674831399,0.25153045849357775,0.23250755974736914,0.3734999650607505,0.028560361090180703,0.2163451142087499,-0.33905834317967753,-0.23387816446382995,0.049798882069055556,-0.13407667738848922,-0.31555315407578843,0.02998858649438078,0.07958810954357602,-0.06419792426658756
wins,0.2329480617259591,-0.18402343346747008,0.39849450419866117,0.378249904377959,-0.2546490511207617,0.2089538652113921,0.0076032085634520005,-0.03783095725117378,-0.001693902005896393,0.34003974228944134,0.5325658393100917,-0.09510779827487065,0.25385928676318176,0.1348960736405653,-0.09518203092717718
podiums,0.28924057680976456,-0.08565686003988754,0.2383660423858137,-0.13537708600772938,0.2028883104742508,-0.36747516594986945,-0.37955070683625547,-0.11658344503465885,-0.002315738156935576,0.004306637768325794,0.0047247998587237605,-0.02324028439770922,-0.012234256864846499,0.39195615007044426,0.5879113178868576
top10_finishes,0.2851529512512712,0.09980611116214988,-0.26347764064453055,0.09317095623509936,0.22317535671405397,0.40841567749107865,-0.315641265323309,0.11522392378167334,0.03329675525514326,0.019809525018770202,-0.10343700607566607,-0.06685041156732774,0.4880888422148186,-0.4090296161329519,0.28089757243066427
dnfs,-0.23838873638665345,-0.3705043779051581,0.19226712314585664,-0.11737235595074672,0.41117263855795694,0.2637901540963688,0.063301709283372,-0.11176580445139855,-0.002741202858314824,0.017963617608352564,0.26491059029371933,-0.2845786780461485,-0.41234921796787105,-0.36137703965337803,0.218836517169339
finish_position_std,-0.10922705958703138,-0.3023788927344245,-0.38893386623505005,0.7202386971439149,0.27647215575173495,-0.3817399121832453,0.020383891697070975,-0.06206854757819497,-0.013888859409553535,4.163336342344337e-17,2.1510571102112408e-16,5.898059818321144e-17,1.0408340855860843e-17,8.847089727481716e-17,1.214306433183765e-17
dnf_rate,-0.2383887363866535,-0.3705043779051581,0.19226712314585662,-0.11737235595074674,0.4111726385579569,0.26379015409636863,0.06330170928337198,-0.11176580445139886,-0.0027412028583163233,-0.017963617608352522,-0.2649105902937192,0.2845786780461489,0.412349217967871,0.3613770396533779,-0.21883651716933894
top10_rate,0.28515295125127116,0.09980611116214988,-0.26347764064453066,0.09317095623509936,0.22317535671405392,0.40841567749107865,-0.3156412653233087,0.11522392378167381,0.0332967552551434,-0.01980952501877034,0.10343700607566628,0.0668504115673278,-0.48808884221481824,0.409029616132952,-0.2808975724306644
podium_rate,0.28924057680976456,-0.08565686003988754,0.2383660423858137,-0.13537708600772932,0.2028883104742508,-0.36747516594986945,-0.37955070683625547,-0.11658344503465896,-0.002315738156935437,-0.004306637768325905,-0.004724799858723289,0.02324028439770979,0.012234256864846332,-0.3919561500704441,-0.5879113178868576
win_rate,0.23294806172595922,-0.1840234334674701,0.3984945041986614,0.3782499043779595,-0.25464905112076164,0.20895386521139186,0.007603208563452063,-0.037830957251173844,-0.0016939020058956054,-0.340039742289441,-0.5325658393100917,0.0951077982748706,-0.2538592867631818,-0.1348960736405652,0.09518203092717717
average_qualifying_position,-0.2742911485299802,0.25094429249705485,0.24289215183123883,0.16490004081689033,0.1140321117955288,-0.04602562663558922,-0.13632785983139512,0.21101517910450016,0.8350858249378778,-6.938893903907228e-16,9.159339953157541e-16,1.2004286453759505e-15,8.951173136040325e-16,4.0592529337857286e-16,-2.6020852139652106e-17
